Timestamp_s,Phase,Block,TrialInBlock,Event,Red,Green,Blue,Source
105309.8284097,practice,1,1,trial_onset,16,0,0,simulated
105311.9230672,practice,1,1,response_onset,16,0,0,simulated
105312.4535085,practice,1,1,response_press,0,32,0,simulated
105313.821149,practice,1,2,trial_onset,16,0,0,simulated
105315.6894909,practice,1,2,response_onset,16,0,0,simulated
105316.220527,practice,1,2,response_press,0,64,0,simulated
105317.4922587,practice,1,3,trial_onset,16,0,0,simulated
105319.3717852,practice,1,3,response_onset,16,0,0,simulated
105319.7972394,practice,1,3,response_press,0,128,0,simulated
105321.0197358,practice,1,4,trial_onset,16,0,0,simulated
105322.8865483,practice,1,4,response_onset,16,0,0,simulated
105323.3507682,practice,1,4,response_press,0,16,0,simulated
105324.5884198,practice,1,5,trial_onset,16,0,0,simulated
105326.4563728,practice,1,5,response_onset,16,0,0,simulated
105326.9115166,practice,1,5,response_press,0,16,0,simulated
105328.1676173,practice,1,6,trial_onset,16,0,0,simulated
105330.0363431,practice,1,6,response_onset,16,0,0,simulated
105330.5595333,practice,1,6,response_press,0,128,0,simulated
105331.800366,practice,1,7,trial_onset,16,0,0,simulated
105333.6692488,practice,1,7,response_onset,16,0,0,simulated
105334.1232209,practice,1,7,response_press,0,32,0,simulated
105335.3547908,practice,1,8,trial_onset,16,0,0,simulated
105337.221085,practice,1,8,response_onset,16,0,0,simulated
105337.6121837,practice,1,8,response_press,0,64,0,simulated
105353.1406398,task,1,1,trial_onset,32,0,0,simulated
105355.0038435,task,1,1,response_onset,32,0,0,simulated
105355.4964629,task,1,1,response_press,0,64,0,simulated
105356.7312439,task,1,2,trial_onset,32,0,0,simulated
105358.6050244,task,1,2,response_onset,32,0,0,simulated
105359.009408,task,1,2,response_press,0,128,0,simulated
105365.4000903,task,2,1,trial_onset,32,0,0,simulated
105367.271521,task,2,1,response_onset,32,0,0,simulated
105367.8044518,task,2,1,response_press,0,32,0,simulated
105369.0437461,task,2,2,trial_onset,32,0,0,simulated
105370.9044551,task,2,2,response_onset,32,0,0,simulated
105371.2963668,task,2,2,response_press,0,64,0,simulated
105375.4732881,task,3,1,trial_onset,32,0,0,simulated
105377.3364632,task,3,1,response_onset,32,0,0,simulated
105377.7955488,task,3,1,response_press,0,16,0,simulated
105379.0569894,task,3,2,trial_onset,32,0,0,simulated
105380.922326,task,3,2,response_onset,32,0,0,simulated
105381.4818243,task,3,2,response_press,0,32,0,simulated
105385.0990802,task,4,1,trial_onset,32,0,0,simulated
105386.9547542,task,4,1,response_onset,32,0,0,simulated
105387.3563851,task,4,1,response_press,0,128,0,simulated
105388.5790988,task,4,2,trial_onset,32,0,0,simulated
105390.4530176,task,4,2,response_onset,32,0,0,simulated
105390.9089749,task,4,2,response_press,0,128,0,simulated
105394.2469302,task,5,1,trial_onset,32,0,0,simulated
105396.1231684,task,5,1,response_onset,32,0,0,simulated
105396.5990229,task,5,1,response_press,0,16,0,simulated
105397.849261,task,5,2,trial_onset,32,0,0,simulated
105399.7209402,task,5,2,response_onset,32,0,0,simulated
105400.2938389,task,5,2,response_press,0,32,0,simulated
105403.5052247,task,6,1,trial_onset,32,0,0,simulated
105405.3697372,task,6,1,response_onset,32,0,0,simulated
105405.8736848,task,6,1,response_press,0,16,0,simulated
105407.0882991,task,6,2,trial_onset,32,0,0,simulated
105408.9549063,task,6,2,response_onset,32,0,0,simulated
105409.3395437,task,6,2,response_press,0,128,0,simulated
105412.8416391,violation,7,1,trial_onset,64,0,0,simulated
105414.7059476,violation,7,1,response_onset,64,0,0,simulated
105415.2575794,violation,7,1,response_press,0,32,0,simulated
105416.4927511,violation,7,2,trial_onset,64,0,0,simulated
105418.3733769,violation,7,2,response_onset,64,0,0,simulated
105418.8629165,violation,7,2,response_press,0,32,0,simulated
105424.5098936,task,8,1,trial_onset,32,0,0,simulated
105426.3878061,task,8,1,response_onset,32,0,0,simulated
105427.6063461,task,8,1,response_press,0,16,0,simulated
105428.8335281,task,8,2,trial_onset,32,0,0,simulated
105430.7039285,task,8,2,response_onset,32,0,0,simulated
105431.0307385,task,8,2,response_press,0,16,0,simulated
105435.4693738,task,9,1,trial_onset,32,0,0,simulated
105437.3399769,task,9,1,response_onset,32,0,0,simulated
105437.8226437,task,9,1,response_press,0,32,0,simulated
105439.0508215,task,9,2,trial_onset,32,0,0,simulated
105440.9383526,task,9,2,response_onset,32,0,0,simulated
105441.4992248,task,9,2,response_press,0,16,0,simulated
105505.7219151,generalization,1,1,trial_onset,128,0,0,simulated
105507.5914675,generalization,1,1,response_onset,128,0,0,simulated
105508.7243788,generalization,1,1,response_press,0,32,0,simulated
105510.3255756,generalization,1,2,trial_onset,128,0,0,simulated
105512.2066833,generalization,1,2,response_onset,128,0,0,simulated
105512.5140115,generalization,1,2,response_press,0,128,0,simulated
105514.0955501,generalization,1,3,trial_onset,128,0,0,simulated
105515.9730419,generalization,1,3,response_onset,128,0,0,simulated
105517.3663368,generalization,1,3,response_press,0,64,0,simulated
105518.9371832,generalization,1,4,trial_onset,128,0,0,simulated
105520.805176,generalization,1,4,response_onset,128,0,0,simulated
105521.3872794,generalization,1,4,response_press,0,16,0,simulated
105522.9804159,generalization,1,5,trial_onset,128,0,0,simulated
105524.855261,generalization,1,5,response_onset,128,0,0,simulated
105525.2950888,generalization,1,5,response_press,0,16,0,simulated
105526.8525291,generalization,1,6,trial_onset,128,0,0,simulated
105528.7242068,generalization,1,6,response_onset,128,0,0,simulated
105529.1038774,generalization,1,6,response_press,0,32,0,simulated
105530.6985926,generalization,1,7,trial_onset,128,0,0,simulated
105532.5731116,generalization,1,7,response_onset,128,0,0,simulated
105532.9702742,generalization,1,7,response_press,0,16,0,simulated
105534.6022644,generalization,1,8,trial_onset,128,0,0,simulated
105536.4734029,generalization,1,8,response_onset,128,0,0,simulated
105537.0376177,generalization,1,8,response_press,0,16,0,simulated
105538.6033938,generalization,1,9,trial_onset,128,0,0,simulated
105540.4719531,generalization,1,9,response_onset,128,0,0,simulated
105541.1197625,generalization,1,9,response_press,0,16,0,simulated
105542.6822045,generalization,1,10,trial_onset,128,0,0,simulated
105544.5546022,generalization,1,10,response_onset,128,0,0,simulated
105544.9113368,generalization,1,10,response_press,0,32,0,simulated
105546.4888309,generalization,1,11,trial_onset,128,0,0,simulated
105548.3561102,generalization,1,11,response_onset,128,0,0,simulated
105548.7122484,generalization,1,11,response_press,0,64,0,simulated
105550.2324422,generalization,1,12,trial_onset,128,0,0,simulated
105552.1068132,generalization,1,12,response_onset,128,0,0,simulated
105552.4615445,generalization,1,12,response_press,0,128,0,simulated
105554.0232263,generalization,1,13,trial_onset,128,0,0,simulated
105555.9055911,generalization,1,13,response_onset,128,0,0,simulated
105556.2851576,generalization,1,13,response_press,0,64,0,simulated
105557.8491249,generalization,1,14,trial_onset,128,0,0,simulated
105559.705803,generalization,1,14,response_onset,128,0,0,simulated
105560.0629242,generalization,1,14,response_press,0,128,0,simulated
105561.6088642,generalization,1,15,trial_onset,128,0,0,simulated
105563.4869862,generalization,1,15,response_onset,128,0,0,simulated
105563.86054,generalization,1,15,response_press,0,128,0,simulated
105565.3831258,generalization,1,16,trial_onset,128,0,0,simulated
105567.2560416,generalization,1,16,response_onset,128,0,0,simulated
105567.8095337,generalization,1,16,response_press,0,16,0,simulated
105569.3631076,generalization,1,17,trial_onset,128,0,0,simulated
105571.2398974,generalization,1,17,response_onset,128,0,0,simulated
105571.6178189,generalization,1,17,response_press,0,32,0,simulated
105573.1583314,generalization,1,18,trial_onset,128,0,0,simulated
105575.023963,generalization,1,18,response_onset,128,0,0,simulated
105575.4292159,generalization,1,18,response_press,0,64,0,simulated
105576.9547593,generalization,1,19,trial_onset,128,0,0,simulated
105578.8401226,generalization,1,19,response_onset,128,0,0,simulated
105579.2793356,generalization,1,19,response_press,0,128,0,simulated
105580.820632,generalization,1,20,trial_onset,128,0,0,simulated
105582.6898783,generalization,1,20,response_onset,128,0,0,simulated
105582.9989372,generalization,1,20,response_press,0,16,0,simulated
105584.5518036,generalization,1,21,trial_onset,128,0,0,simulated
105586.4231953,generalization,1,21,response_onset,128,0,0,simulated
105586.7713131,generalization,1,21,response_press,0,16,0,simulated
105588.3511492,generalization,1,22,trial_onset,128,0,0,simulated
105590.2230548,generalization,1,22,response_onset,128,0,0,simulated
105590.5966063,generalization,1,22,response_press,0,32,0,simulated
105592.1370782,generalization,1,23,trial_onset,128,0,0,simulated
105594.0032037,generalization,1,23,response_onset,128,0,0,simulated
105594.7258838,generalization,1,23,response_press,0,32,0,simulated
105596.2859436,generalization,1,24,trial_onset,128,0,0,simulated
105598.157195,generalization,1,24,response_onset,128,0,0,simulated
105598.826687,generalization,1,24,response_press,0,16,0,simulated
105600.3605958,generalization,1,25,trial_onset,128,0,0,simulated
105602.2203243,generalization,1,25,response_onset,128,0,0,simulated
105602.534723,generalization,1,25,response_press,0,16,0,simulated
105604.1242708,generalization,1,26,trial_onset,128,0,0,simulated
105605.9907166,generalization,1,26,response_onset,128,0,0,simulated
105606.7060682,generalization,1,26,response_press,0,16,0,simulated
105608.2492634,generalization,1,27,trial_onset,128,0,0,simulated
105610.12188,generalization,1,27,response_onset,128,0,0,simulated
105610.5000885,generalization,1,27,response_press,0,32,0,simulated
105612.0331465,generalization,1,28,trial_onset,128,0,0,simulated
105613.9132451,generalization,1,28,response_onset,128,0,0,simulated
105614.2068619,generalization,1,28,response_press,0,16,0,simulated
105615.7033104,generalization,1,29,trial_onset,128,0,0,simulated
105617.5717,generalization,1,29,response_onset,128,0,0,simulated
105617.9161718,generalization,1,29,response_press,0,16,0,simulated
105619.4308078,generalization,1,30,trial_onset,128,0,0,simulated
105621.3082734,generalization,1,30,response_onset,128,0,0,simulated
105621.5949155,generalization,1,30,response_press,0,32,0,simulated
105623.1255773,generalization,1,31,trial_onset,128,0,0,simulated
105624.9900964,generalization,1,31,response_onset,128,0,0,simulated
105625.3719038,generalization,1,31,response_press,0,16,0,simulated
105626.8955309,generalization,1,32,trial_onset,128,0,0,simulated
105628.7559,generalization,1,32,response_onset,128,0,0,simulated
105629.0605016,generalization,1,32,response_press,0,32,0,simulated
105630.6093327,generalization,1,33,trial_onset,128,0,0,simulated
105632.4729899,generalization,1,33,response_onset,128,0,0,simulated
105634.1279005,generalization,1,33,response_press,0,32,0,simulated
105635.6372248,generalization,1,34,trial_onset,128,0,0,simulated
105637.4869334,generalization,1,34,response_onset,128,0,0,simulated
105638.8153696,generalization,1,34,response_press,0,128,0,simulated
105640.3290831,generalization,1,35,trial_onset,128,0,0,simulated
105642.206819,generalization,1,35,response_onset,128,0,0,simulated
105642.5679185,generalization,1,35,response_press,0,64,0,simulated
105644.0909311,generalization,1,36,trial_onset,128,0,0,simulated
105645.9572876,generalization,1,36,response_onset,128,0,0,simulated
105646.3934534,generalization,1,36,response_press,0,128,0,simulated
105647.8786763,generalization,1,37,trial_onset,128,0,0,simulated
105649.7579729,generalization,1,37,response_onset,128,0,0,simulated
105650.0700132,generalization,1,37,response_press,0,64,0,simulated
105651.5893805,generalization,1,38,trial_onset,128,0,0,simulated
105653.4572239,generalization,1,38,response_onset,128,0,0,simulated
105653.8884526,generalization,1,38,response_press,0,64,0,simulated
105655.4551411,generalization,1,39,trial_onset,128,0,0,simulated
105657.3238061,generalization,1,39,response_onset,128,0,0,simulated
105657.6875685,generalization,1,39,response_press,0,128,0,simulated
105659.2329392,generalization,1,40,trial_onset,128,0,0,simulated
105661.1072054,generalization,1,40,response_onset,128,0,0,simulated
105661.542921,generalization,1,40,response_press,0,64,0,simulated
105663.082076,generalization,1,41,trial_onset,128,0,0,simulated
105664.9569839,generalization,1,41,response_onset,128,0,0,simulated
105667.9128925,generalization,1,41,response_press,0,64,0,simulated
105669.4287255,generalization,1,42,trial_onset,128,0,0,simulated
105671.290301,generalization,1,42,response_onset,128,0,0,simulated
105671.8801421,generalization,1,42,response_press,0,128,0,simulated
105673.3858808,generalization,1,43,trial_onset,128,0,0,simulated
105675.2559356,generalization,1,43,response_onset,128,0,0,simulated
105678.8277862,generalization,1,43,response_press,0,128,0,simulated
105680.3141813,generalization,1,44,trial_onset,128,0,0,simulated
105682.1903217,generalization,1,44,response_onset,128,0,0,simulated
105682.7076215,generalization,1,44,response_press,0,64,0,simulated
105684.2376213,generalization,1,45,trial_onset,128,0,0,simulated
105686.1232641,generalization,1,45,response_onset,128,0,0,simulated
105687.2244662,generalization,1,45,response_press,0,64,0,simulated
105688.7741221,generalization,1,46,trial_onset,128,0,0,simulated
105690.6389844,generalization,1,46,response_onset,128,0,0,simulated
105691.2093497,generalization,1,46,response_press,0,64,0,simulated
105692.7247594,generalization,1,47,trial_onset,128,0,0,simulated
105694.5906846,generalization,1,47,response_onset,128,0,0,simulated
105695.3258888,generalization,1,47,response_press,0,128,0,simulated
105696.801932,generalization,1,48,trial_onset,128,0,0,simulated
105698.67319,generalization,1,48,response_onset,128,0,0,simulated
105699.1405531,generalization,1,48,response_press,0,64,0,simulated
105700.6585562,generalization,2,49,trial_onset,128,0,0,simulated
105702.5240306,generalization,2,49,response_onset,128,0,0,simulated
105703.1404473,generalization,2,49,response_press,0,128,0,simulated
105704.691506,generalization,2,50,trial_onset,128,0,0,simulated
105706.5563366,generalization,2,50,response_onset,128,0,0,simulated
105707.024337,generalization,2,50,response_press,0,64,0,simulated
105708.5214851,generalization,2,51,trial_onset,128,0,0,simulated
105710.392193,generalization,2,51,response_onset,128,0,0,simulated
105710.8861014,generalization,2,51,response_press,0,64,0,simulated
105712.3997134,generalization,2,52,trial_onset,128,0,0,simulated
105714.2565678,generalization,2,52,response_onset,128,0,0,simulated
105714.9670041,generalization,2,52,response_press,0,128,0,simulated
105716.4816693,generalization,2,53,trial_onset,128,0,0,simulated
105718.3573216,generalization,2,53,response_onset,128,0,0,simulated
105718.8837627,generalization,2,53,response_press,0,32,0,simulated
105720.4132605,generalization,2,54,trial_onset,128,0,0,simulated
105722.2901807,generalization,2,54,response_onset,128,0,0,simulated
105723.0967616,generalization,2,54,response_press,0,16,0,simulated
105724.6288954,generalization,2,55,trial_onset,128,0,0,simulated
105726.4881969,generalization,2,55,response_onset,128,0,0,simulated
105727.0713198,generalization,2,55,response_press,0,16,0,simulated
105728.6057371,generalization,2,56,trial_onset,128,0,0,simulated
105730.471392,generalization,2,56,response_onset,128,0,0,simulated
105731.433566,generalization,2,56,response_press,0,16,0,simulated
105732.9365345,generalization,2,57,trial_onset,128,0,0,simulated
105734.8064621,generalization,2,57,response_onset,128,0,0,simulated
105735.2072658,generalization,2,57,response_press,0,32,0,simulated
105736.7536447,generalization,2,58,trial_onset,128,0,0,simulated
105738.6253995,generalization,2,58,response_onset,128,0,0,simulated
105739.1847412,generalization,2,58,response_press,0,16,0,simulated
105740.7306772,generalization,2,59,trial_onset,128,0,0,simulated
105742.6074026,generalization,2,59,response_onset,128,0,0,simulated
105743.4729151,generalization,2,59,response_press,0,16,0,simulated
105744.9795328,generalization,2,60,trial_onset,128,0,0,simulated
105746.857726,generalization,2,60,response_onset,128,0,0,simulated
105747.2860667,generalization,2,60,response_press,0,16,0,simulated
105748.8084664,generalization,2,61,trial_onset,128,0,0,simulated
