Phase,Block,TrialInBlock,GlobalTrial,SoundFile,SoundPath,Category,ExpectedResponse,ExpectedColor,PressedResponse,PressedColor,Correct,ReactionTime_s,Slow,EarlyPressDetected,SoundOnset_s,SoundOffset_s,ResponseOnset_s,ResponsePress_s,MappingLabel
practice,1,1,NaN,ySequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\flac_practice\ySequenceTrain_33.flac,y,2,Green,2,Green,1,0.514961799999583,0,0,105309.8284097,105311.5840959,105311.9230672,105312.438029,consistent
practice,1,2,NaN,aSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\flac_practice\aSequenceTrain_33.flac,a,3,Blue,3,Blue,1,0.517522900001495,0,0,105313.821149,105315.3552732,105315.6894909,105316.2070138,consistent
practice,1,3,NaN,xSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\flac_practice\xSequenceTrain_34.flac,x,4,Red,4,Red,1,0.417066299996804,0,0,105317.4922587,105319.0263163,105319.3717852,105319.7888515,consistent
practice,1,4,NaN,bSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\flac_practice\bSequenceTrain_33.flac,b,1,Yellow,1,Yellow,1,0.45622110000113,0,0,105321.0197358,105322.5521889,105322.8865483,105323.3427694,consistent
practice,1,5,NaN,bSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\flac_practice\bSequenceTrain_34.flac,b,1,Yellow,1,Yellow,1,0.437276299999212,0,0,105324.5884198,105326.1176916,105326.4563728,105326.8936491,consistent
practice,1,6,NaN,xSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\flac_practice\xSequenceTrain_33.flac,x,4,Red,4,Red,1,0.515303299995139,0,0,105328.1676173,105329.6939724,105330.0363431,105330.5516464,consistent
practice,1,7,NaN,ySequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\flac_practice\ySequenceTrain_34.flac,y,2,Green,2,Green,1,0.446393400008674,0,0,105331.800366,105333.3352757,105333.6692488,105334.1156422,consistent
practice,1,8,NaN,aSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\flac_practice\aSequenceTrain_34.flac,a,3,Blue,3,Blue,1,0.378819500008831,0,0,105335.3547908,105336.881406,105337.221085,105337.5999045,consistent
task,1,1,NaN,aSequenceTrain_3.flac,D:\Matlab_projects\SMART\SMART_game\flac_task\aSequenceTrain_3.flac,a,3,Blue,3,Blue,1,0.483363499995903,0,0,105353.1406398,105354.6720862,105355.0038435,105355.487207,consistent
task,1,2,NaN,xSequenceTrain_7.flac,D:\Matlab_projects\SMART\SMART_game\flac_task\xSequenceTrain_7.flac,x,4,Red,4,Red,1,0.396599999992759,0,0,105356.7312439,105358.2587973,105358.6050244,105359.0016244,consistent
task,2,1,NaN,ySequenceTrain_16.flac,D:\Matlab_projects\SMART\SMART_game\flac_task\ySequenceTrain_16.flac,y,2,Green,2,Green,1,0.51875229999132,0,0,105365.4000903,105366.9252404,105367.271521,105367.7902733,consistent
task,2,2,NaN,aSequenceTrain_13.flac,D:\Matlab_projects\SMART\SMART_game\flac_task\aSequenceTrain_13.flac,a,3,Blue,3,Blue,1,0.380249100009678,0,0,105369.0437461,105370.5654979,105370.9044551,105371.2847042,consistent
task,3,1,NaN,bSequenceTrain_35.flac,D:\Matlab_projects\SMART\SMART_game\flac_task\bSequenceTrain_35.flac,b,1,Yellow,1,Yellow,1,0.449330399991595,0,0,105375.4732881,105377.0022647,105377.3364632,105377.7857936,consistent
task,3,2,NaN,ySequenceTrain_25.flac,D:\Matlab_projects\SMART\SMART_game\flac_task\ySequenceTrain_25.flac,y,2,Green,2,Green,1,0.547710300001199,0,0,105379.0569894,105380.587489,105380.922326,105381.4700363,consistent
task,4,1,NaN,xSequenceTrain_3.flac,D:\Matlab_projects\SMART\SMART_game\flac_task\xSequenceTrain_3.flac,x,4,Red,4,Red,1,0.389435900011449,0,0,105385.0990802,105386.6231207,105386.9547542,105387.3441901,consistent
task,4,2,NaN,xSequenceTrain_11.flac,D:\Matlab_projects\SMART\SMART_game\flac_task\xSequenceTrain_11.flac,x,4,Red,4,Red,1,0.444974800004275,0,0,105388.5790988,105390.1129103,105390.4530176,105390.8979924,consistent
task,5,1,NaN,bSequenceTrain_15.flac,D:\Matlab_projects\SMART\SMART_game\flac_task\bSequenceTrain_15.flac,b,1,Yellow,1,Yellow,1,0.465223000006517,0,0,105394.2469302,105395.7741548,105396.1231684,105396.5883914,consistent
task,5,2,NaN,ySequenceTrain_19.flac,D:\Matlab_projects\SMART\SMART_game\flac_task\ySequenceTrain_19.flac,y,2,Green,2,Green,1,0.561691499999142,0,0,105397.849261,105399.3873854,105399.7209402,105400.2826317,consistent
