ParticipantID,ISI_ms,Mapping,Status,AssignedAt,RandomSeed
1,250,XAYB,pending,07/20/2026 15:50,3890346746
2,250,YBXA,pending,07/20/2026 15:51,683505762
3,250,AXBY,pending,07/20/2026 15:53,2341240490
4,500,XAYB,pending,07/20/2026 15:54,614010504
5,0,XAYB,pending,07/20/2026 16:56,2155717734
6,0,BYAX,pending,07/20/2026 16:57,2197810451
7,0,AXBY,pending,07/20/2026 16:58,968052178
9,1100,XAYB,pending,07/20/2026 16:59,2930261110
8,1100,AXBY,pending,07/20/2026 17:00,3318801106
10,500,YBXA,pending,07/20/2026 17:01,4052473764
11,1100,YBXA,pending,07/20/2026 17:02,1490630392
12,0,YBXA,pending,07/20/2026 17:03,4081073125
13,500,BYAX,pending,07/20/2026 17:05,1873721924
14,500,AXBY,completed,07/20/2026 17:05,2036248239
15,250,BYAX,completed,07/20/2026 17:06,3411746227
16,1100,BYAX,aborted,07/20/2026 17:14,3892312886
17,250,BYAX,aborted,07/30/2026 10:44,512022555
18,0,BYAX,aborted,07/30/2026 12:03,3418738510
